PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,EFG_PCT,TS_PCT,USG_PCT,NET_RATING,OFF_RATING,DEF_RATING,PIE,PLAYER_HEIGHT,PLAYER_WEIGHT,AGE
1628983,Shai Gilgeous-Alexander,OKC,76,34.2,32.7,5.0,6.4,1.7,1.0,0.519,0.375,0.898,0.56651376146789,0.6368806481770022,0.336,16.7,122.4,105.7,0.199,6-6,195,26.0
203507,Giannis Antetokounmpo,MIL,67,34.2,30.4,11.9,6.5,0.9,1.2,0.601,0.222,0.617,0.6040609137055838,0.6238712855032015,0.346,7.2,118.9,111.7,0.21,6-11,243,30.0
203999,Nikola Jokić,DEN,70,36.7,29.6,12.7,10.2,1.8,0.6,0.576,0.417,0.8,0.6256410256410256,0.6632012905538628,0.285,10.5,125.6,115.1,0.206,6-11,284,30.0
1629029,Luka Dončić,LAL,50,35.4,28.2,8.2,7.7,1.8,0.4,0.45,0.368,0.782,0.5341463414634146,0.5880880880880881,0.328,9.1,119.6,110.5,0.17,6-6,230,26.0
1630162,Anthony Edwards,MIN,79,36.3,27.6,5.7,4.5,1.2,0.6,0.447,0.395,0.837,0.5465686274509803,0.5955463490419473,0.307,4.8,116.2,111.4,0.14,6-4,225,23.0
1628369,Jayson Tatum,BOS,72,36.4,26.8,8.7,6.0,1.1,0.5,0.452,0.343,0.814,0.5394088669950738,0.5830142707970762,0.301,9.8,119.6,109.8,0.158,6-8,210,27.0
201142,Kevin Durant,PHX,62,36.5,26.6,6.0,4.2,0.8,1.2,0.527,0.43,0.839,0.5966850828729282,0.6440054232035638,0.283,-1.0,116.5,117.4,0.142,6-11,240,36.0
1630178,Tyrese Maxey,PHI,52,37.7,26.3,3.3,6.1,1.8,0.4,0.437,0.337,0.879,0.5119047619047619,0.5604330037504263,0.293,-3.5,113.8,117.4,0.127,6-2,200,24.0
1630595,Cade Cunningham,DET,70,35.0,26.1,6.1,9.1,1.0,0.8,0.469,0.356,0.846,0.5216346153846154,0.5641535535189348,0.323,2.8,115.0,112.2,0.152,6-6,220,23.0
1628973,Jalen Brunson,NYK,65,35.4,26.0,2.9,7.3,0.9,0.1,0.488,0.383,0.821,0.5486486486486487,0.6036404160475483,0.289,2.6,118.3,115.7,0.138,6-2,190,28.0
1631094,Paolo Banchero,ORL,46,34.4,25.9,7.5,4.8,0.8,0.6,0.452,0.32,0.727,0.5025252525252525,0.551157643854273,0.33,-0.6,109.1,109.6,0.157,6-10,250,22.0
1626164,Devin Booker,PHX,75,37.3,25.6,4.1,7.1,0.9,0.2,0.461,0.332,0.894,0.5238095238095237,0.5894271504881194,0.285,-3.2,115.3,118.5,0.122,6-6,206,28.0
1630163,LaMelo Ball,CHA,47,32.0,25.2,4.9,7.4,1.1,0.3,0.405,0.339,0.843,0.49295774647887325,0.5371759890859481,0.342,-3.9,112.7,116.5,0.127,6-7,180,23.0
203081,Damian Lillard,MIL,58,36.1,24.9,4.7,7.1,1.2,0.2,0.448,0.376,0.921,0.5497076023391813,0.6196496117857853,0.269,0.7,115.3,114.6,0.144,6-2,195,34.0
202681,Kyrie Irving,DAL,50,36.1,24.7,4.8,4.6,1.3,0.5,0.473,0.401,0.916,0.5476190476190477,0.5939784532512505,0.264,2.6,116.5,113.9,0.129,6-2,195,33.0
203076,Anthony Davis,DAL,51,33.4,24.7,11.6,3.5,1.2,2.2,0.516,0.282,0.775,0.5365168539325842,0.5889927508584509,0.301,0.5,113.3,112.9,0.179,6-10,253,32.0
1629627,Zion Williamson,NOP,30,28.6,24.6,7.2,5.3,1.2,0.9,0.567,0.231,0.656,0.5710059171597633,0.6023506366307543,0.325,-1.8,113.7,115.5,0.167,6-6,284,24.0
201939,Stephen Curry,GSW,70,32.2,24.5,4.4,6.0,1.1,0.4,0.448,0.397,0.933,0.5722222222222223,0.6158254574703399,0.286,5.7,118.4,112.7,0.145,6-2,185,37.0
1626157,Karl-Anthony Towns,NYK,72,35.0,24.4,12.8,3.1,1.0,0.7,0.526,0.42,0.829,0.5857988165680474,0.6286067600989284,0.265,6.8,119.4,112.7,0.161,7-0,248,29.0
2544,LeBron James,LAL,70,34.9,24.4,7.8,8.2,1.0,0.6,0.513,0.376,0.782,0.5718232044198895,0.6049186830622768,0.291,-1.3,112.7,114.0,0.169,6-9,250,40.0
1641705,Victor Wembanyama,SAS,46,33.2,24.3,11.0,3.7,1.1,3.8,0.476,0.352,0.836,0.5618279569892474,0.5954714761811409,0.3,2.6,112.5,110.0,0.168,7-3,235,21.0
1629027,Trae Young,ATL,76,36.0,24.2,3.1,11.6,1.2,0.2,0.411,0.34,0.875,0.48895027624309384,0.5665855029031653,0.285,0.6,115.2,114.6,0.129,6-1,164,26.0
1630532,Franz Wagner,ORL,60,33.7,24.2,5.7,4.7,1.3,0.4,0.463,0.295,0.871,0.5077319587628866,0.5579122095167834,0.306,6.0,111.8,105.8,0.153,6-10,220,23.0
