PLAYER_NAME,TEAM,SALARY,SALARY_M
Cooper Flagg ,Dallas Mavericks,14386320,14.39
Daniel Gafford ,Dallas Mavericks,14386320,14.39
Deni Avdija ,Portland Trail Blazers,14375000,14.38
P.J. Washington ,Dallas Mavericks,14152174,14.15
Steven Adams ,Houston Rockets,14130434,14.13
Damian Lillard ,Portland Trail Blazers,14104000,14.1
Caris LeVert ,Detroit Pistons,14104000,14.1
Dennis Schroder ,Cleveland Cavaliers,14104000,14.1
Obi Toppin ,Indiana Pacers,14000000,14.0
Corey Kispert ,Atlanta Hawks,13975000,13.98
Austin Reaves ,Los Angeles Lakers,13937574,13.94
Herbert Jones ,New Orleans Pelicans,13937574,13.94
Chet Holmgren ,Oklahoma City Thunder,13731368,13.73
Josh Green ,Charlotte Hornets,13666667,13.67
Grant Williams ,Charlotte Hornets,13645500,13.65
Bobby Portis ,Milwaukee Bucks,13580247,13.58
Kelly Olynyk ,San Antonio Spurs,13445122,13.45
Victor Wembanyama ,San Antonio Spurs,13376880,13.38
Robert Williams III ,Portland Trail Blazers,13285713,13.29
Richaun Holmes ,Washington Wizards,13280737,13.28
Zaccharie Risacher ,Atlanta Hawks,13197720,13.2
Mitchell Robinson ,New York Knicks,12954546,12.95
Coby White ,Chicago Bulls,12888889,12.89
Dorian Finney-Smith ,Houston Rockets,12700000,12.7
Brandon Clarke ,Memphis Grizzlies,12500000,12.5
Dylan Harper ,San Antonio Spurs,12370320,12.37
Isaiah Joe ,Oklahoma City Thunder,12362338,12.36
Jabari Smith Jr. ,Houston Rockets,12350392,12.35
Donte DiVincenzo ,Minnesota Timberwolves,11990000,11.99
Brandon Miller ,Charlotte Hornets,11968800,11.97
Alex Sarr ,Washington Wizards,11808240,11.81
Davion Mitchell ,Miami Heat,11600000,11.6
Moses Moody ,Golden State Warriors,11574074,11.57
Jarred Vanderbilt ,Los Angeles Lakers,11571429,11.57
Matisse Thybulle ,Portland Trail Blazers,11550000,11.55
Gabe Vincent ,Atlanta Hawks,11500000,11.5
Keegan Murray ,Sacramento Kings,11144093,11.14
VJ Edgecombe ,Philadelphia 76ers,11108880,11.11
Luke Kornet ,San Antonio Spurs,11000000,11.0
Luke Kennard ,Los Angeles Lakers,11000000,11.0
Maxi Kleber ,Los Angeles Lakers,11000000,11.0
Aaron Nesmith ,Indiana Pacers,11000000,11.0
Isaac Okoro ,Chicago Bulls,11000000,11.0
Wendell Carter Jr. ,Orlando Magic,10850000,10.85
Mike Conley ,Minnesota Timberwolves,10774038,10.77
Scoot Henderson ,Portland Trail Blazers,10748040,10.75
Reed Sheppard ,Houston Rockets,10603560,10.6
Jonas Valanciunas ,Denver Nuggets,10395000,10.4
T.J. McConnell ,Indiana Pacers,10200000,10.2
Royce O'Neale ,Phoenix Suns,10125000,10.12
Jaden Ivey ,Chicago Bulls,10107163,10.11
Aaron Wiggins ,Oklahoma City Thunder,10102802,10.1
Sam Hauser ,Boston Celtics,10044643,10.04
Kon Knueppel ,Charlotte Hornets,10015680,10.02
Lonzo Ball ,Cleveland Cavaliers,10000000,10.0
Derrick Jones Jr. ,LA Clippers,10000000,10.0
Amen Thompson ,Houston Rockets,9690600,9.69
Caleb Martin ,Dallas Mavericks,9594044,9.59
Stephon Castle ,San Antonio Spurs,9560520,9.56
Pat Connaughton ,Charlotte Hornets,9423869,9.42
Kyle Anderson ,Memphis Grizzlies,9219512,9.22
Buddy Hield ,Atlanta Hawks,9219512,9.22
Bennedict Mathurin ,Indiana Pacers,9187573,9.19
Ace Bailey ,Utah Jazz,9069840,9.07
Naji Marshall ,Dallas Mavericks,9000000,9.0
Jalen Smith ,Chicago Bulls,9000000,9.0
Ty Jerome ,Memphis Grizzlies,8781000,8.78
Ausar Thompson ,Detroit Pistons,8775000,8.78
Brook Lopez ,LA Clippers,8750000,8.75
Quentin Grimes ,Philadelphia 76ers,8741209,8.74
"Cody Martin , SF",Indiana Pacers,8680000,8.68
Ronald Holland II ,Detroit Pistons,8657280,8.66
Sam Merrill ,Cleveland Cavaliers,8482143,8.48
Jaylin Williams ,Oklahoma City Thunder,8450794,8.45
Shaedon Sharpe ,Portland Trail Blazers,8399983,8.4
Kelly Oubre Jr. ,Philadelphia 76ers,8382150,8.38
Goga Bitadze ,Orlando Magic,8333333,8.33
Simone Fontecchio ,Miami Heat,8307692,8.31
Tre Johnson ,Washington Wizards,8237640,8.24
Georges Niang ,Memphis Grizzlies,8200000,8.2
Zeke Nnaji ,Denver Nuggets,8177778,8.18
Deandre Ayton ,Los Angeles Lakers,8104000,8.1
KJ Martin ,Utah Jazz,8025000,8.02
Tre Mann ,Charlotte Hornets,8000000,8.0
Tre Jones ,Chicago Bulls,8000000,8.0
Kevon Looney ,New Orleans Pelicans,8000000,8.0
Anthony Black ,Orlando Magic,7970280,7.97
Tidjane Salaun ,Charlotte Hornets,7863240,7.86
Josh Okogie ,Houston Rockets,7750000,7.75
Max Christie ,Dallas Mavericks,7714286,7.71
Dyson Daniels ,Atlanta Hawks,7707709,7.71
Jeremiah Fears ,New Orleans Pelicans,7520040,7.52
Ayo Dosunmu ,Minnesota Timberwolves,7518519,7.52
Bilal Coulibaly ,Washington Wizards,7275600,7.28
Payton Pritchard ,Boston Celtics,7232143,7.23
Donovan Clingan ,Portland Trail Blazers,7178400,7.18
Kenrich Williams ,Oklahoma City Thunder,7163000,7.16
Jeremy Sochan ,San Antonio Spurs,7096231,7.1
Isaiah Jackson ,Indiana Pacers,7000000,7.0
Tyus Jones ,Dallas Mavericks,7000000,7.0
Egor Demin ,Brooklyn Nets,6889200,6.89
Jevon Carter ,Orlando Magic,6809524,6.81
Clint Capela ,Houston Rockets,6700000,6.7
Ousmane Dieng ,Milwaukee Bucks,6670882,6.67
