PLAYER_NAME,TEAM,SALARY,SALARY_M
Stephen Curry,Golden State Warriors,55761216,55.76
Joel Embiid,Philadelphia 76ers,51415938,51.42
Nikola Jokic,Denver Nuggets,51415938,51.42
Kevin Durant,Phoenix Suns,51179021,51.18
Bradley Beal,Phoenix Suns,50203930,50.2
Kawhi Leonard,LA Clippers,49350000,49.35
Devin Booker,Phoenix Suns,49205800,49.21
Paul George,Philadelphia 76ers,49205800,49.21
Karl-Anthony Towns,New York Knicks,49205800,49.21
Jaylen Brown,Boston Celtics,49205800,49.21
Jimmy Butler III,Golden State Warriors,48798677,48.8
Giannis Antetokounmpo,Milwaukee Bucks,48787676,48.79
Damian Lillard,Milwaukee Bucks,48787676,48.79
LeBron James,Los Angeles Lakers,48728845,48.73
Zach LaVine,Sacramento Kings,44531940,44.53
Rudy Gobert,Minnesota Timberwolves,43827587,43.83
Anthony Davis,Dallas Mavericks,43219440,43.22
Luka Doncic,Los Angeles Lakers,43031940,43.03
Trae Young,Atlanta Hawks,43031940,43.03
Fred VanVleet,Houston Rockets,42846615,42.85
Lauri Markkanen,Utah Jazz,42176400,42.18
Anthony Edwards,Minnesota Timberwolves,42176400,42.18
Tyrese Haliburton,Indiana Pacers,42176000,42.18
Pascal Siakam,Indiana Pacers,42176000,42.18
Kyrie Irving,Dallas Mavericks,41000000,41.0
Domantas Sabonis,Sacramento Kings,40500000,40.5
Ja Morant,Memphis Grizzlies,36725670,36.73
Darius Garland,Cleveland Cavaliers,36725670,36.73
Zion Williamson,New Orleans Pelicans,36725670,36.73
OG Anunoby,New York Knicks,36637931,36.64
Brandon Ingram,New Orleans Pelicans,36016200,36.02
Jamal Murray,Denver Nuggets,36016200,36.02
Shai Gilgeous-Alexander,Oklahoma City Thunder,35859950,35.86
Michael Porter Jr.,Denver Nuggets,35859950,35.86
Donovan Mitchell,Cleveland Cavaliers,35410310,35.41
LaMelo Ball,Charlotte Hornets,35147000,35.15
Tyrese Maxey,Philadelphia 76ers,35147000,35.15
De'Aaron Fox,San Antonio Spurs,34848340,34.85
Bam Adebayo,Miami Heat,34848340,34.85
Jayson Tatum,Boston Celtics,34848340,34.85
Desmond Bane,Memphis Grizzlies,34005250,34.01
Deandre Ayton,Portland Trail Blazers,34005126,34.01
James Harden,LA Clippers,33653846,33.65
CJ McCollum,New Orleans Pelicans,33333333,33.33
Julius Randle,Minnesota Timberwolves,33073920,33.07
Immanuel Quickley,Toronto Raptors,32500000,32.5
Khris Middleton,Washington Wizards,31666676,31.67
Isaiah Hartenstein,Oklahoma City Thunder,30000000,30.0
Jrue Holiday,Boston Celtics,30000000,30.0
Jerami Grant,Portland Trail Blazers,29793104,29.79
Jordan Poole,Washington Wizards,29651786,29.65
Dejounte Murray,New Orleans Pelicans,29535801,29.54
Devin Vassell,San Antonio Spurs,29347826,29.35
Kristaps Porzingis,Boston Celtics,29268293,29.27
Tyler Herro,Miami Heat,29000000,29.0
Nic Claxton,Brooklyn Nets,27556817,27.56
Miles Bridges,Charlotte Hornets,27173913,27.17
John Collins,Utah Jazz,26580000,26.58
Andrew Wiggins,Miami Heat,26276786,26.28
Anfernee Simons,Portland Trail Blazers,25892857,25.89
RJ Barrett,Toronto Raptors,25794643,25.79
Tobias Harris,Detroit Pistons,25365854,25.37
Jaren Jackson Jr.,Memphis Grizzlies,25257798,25.26
Jonathan Isaac,Orlando Magic,25000000,25.0
Jalen Brunson,New York Knicks,24960001,24.96
Terry Rozier,Miami Heat,24924126,24.92
Draymond Green,Golden State Warriors,24107143,24.11
DeMar DeRozan,Sacramento Kings,23400000,23.4
Mikal Bridges,New York Knicks,23300000,23.3
Jaden McDaniels,Minnesota Timberwolves,23017242,23.02
Brook Lopez,Milwaukee Bucks,23000000,23.0
Bruce Brown,New Orleans Pelicans,23000000,23.0
Aaron Gordon,Denver Nuggets,22841455,22.84
Kentavious Caldwell-Pope,Orlando Magic,22757000,22.76
Malcolm Brogdon,Washington Wizards,22500000,22.5
Cameron Johnson,Brooklyn Nets,22500000,22.5
Kyle Kuzma,Milwaukee Bucks,22410605,22.41
Clint Capela,Atlanta Hawks,22265280,22.27
Dillon Brooks,Houston Rockets,22255493,22.26
De'Andre Hunter,Cleveland Cavaliers,21696429,21.7
Lonzo Ball,Chicago Bulls,21395348,21.4
Marcus Smart,Washington Wizards,20210285,20.21
Derrick White,Boston Celtics,20017429,20.02
Jarrett Allen,Cleveland Cavaliers,20000000,20.0
Nikola Vucevic,Chicago Bulls,20000000,20.0
Myles Turner,Indiana Pacers,19928500,19.93
Jakob Poeltl,Toronto Raptors,19500000,19.5
Duncan Robinson,Miami Heat,19406000,19.41
Norman Powell,LA Clippers,19241379,19.24
"Bojan Bogdanovic, SF",Brooklyn Nets,19032850,19.03
Keldon Johnson,San Antonio Spurs,19000000,19.0
D'Angelo Russell,Brooklyn Nets,18692307,18.69
Patrick Williams,Chicago Bulls,18500000,18.5
Collin Sexton,Utah Jazz,18350000,18.35
Josh Hart,New York Knicks,18144000,18.14
Jusuf Nurkic,Charlotte Hornets,18125000,18.12
Harrison Barnes,San Antonio Spurs,18000000,18.0
Malik Monk,Sacramento Kings,17405202,17.41
Bogdan Bogdanovic,LA Clippers,17260000,17.26
Rui Hachimura,Los Angeles Lakers,17000000,17.0
Kevin Huerter,Chicago Bulls,16830357,16.83
Zach Collins,Chicago Bulls,16741200,16.74
Caris LeVert,Atlanta Hawks,16615384,16.62
Luguentz Dort,Oklahoma City Thunder,16500000,16.5
Tim Hardaway Jr.,Detroit Pistons,16193183,16.19
"Davis Bertans, SF",Charlotte Hornets,16000000,16.0
Klay Thompson,Dallas Mavericks,15873016,15.87
Deni Avdija,Portland Trail Blazers,15625000,15.62
