PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,EFG_PCT,TS_PCT,USG_PCT,NET_RATING,OFF_RATING,DEF_RATING,PIE,PLAYER_HEIGHT,PLAYER_WEIGHT,AGE
1631288,Jamal Cain,ORL,19,7.0,2.7,0.7,0.3,0.2,0.1,0.395,0.316,0.833,0.47500000000000003,0.5634390651085143,0.164,-3.4,112.5,115.8,0.031,6-7,191,26.0
1626172,Kevon Looney,NOP,17,13.9,2.7,5.1,1.5,0.4,0.5,0.426,0.111,0.625,0.44642857142857145,0.4470198675496689,0.1,-13.6,101.8,115.4,0.086,6-9,222,30.0
1642918,Alijah Martin,TOR,12,7.7,2.7,1.1,0.7,0.5,0.3,0.333,0.167,0.833,0.36,0.4591836734693878,0.17,-6.0,105.9,112.0,0.069,6-2,210,24.0
1642358,AJ Johnson,DAL,27,8.2,2.6,1.1,0.9,0.3,0.0,0.31,0.259,0.75,0.35937499999999994,0.3850710900473933,0.198,-3.0,102.7,105.8,0.036,6-5,160,21.0
1630256,Jae'Sean Tate,HOU,31,8.2,2.6,1.5,0.5,0.2,0.1,0.5,0.318,0.571,0.5217391304347827,0.5443886097152429,0.13,-10.5,104.4,114.9,0.061,6-4,230,30.0
1642880,Kam Jones,IND,17,10.8,2.6,1.0,1.2,0.2,0.0,0.413,0.211,0.5,0.4444444444444445,0.4662840746054519,0.12,-7.4,105.0,112.4,0.049,6-4,200,23.0
1629599,Amir Coffey,PHX,31,9.0,2.5,0.9,0.4,0.1,0.1,0.483,0.296,0.824,0.5526315789473685,0.5896226415094339,0.106,-7.7,102.6,110.3,0.058,6-7,210,28.0
203914,Gary Harris,MIL,37,14.8,2.5,1.4,1.1,0.6,0.2,0.452,0.435,0.889,0.575,0.5986590038314176,0.072,-6.9,107.9,114.8,0.046,6-4,210,31.0
1642885,Mohamed Diawara,NYK,44,6.8,2.5,1.1,0.5,0.2,0.1,0.452,0.4,0.5,0.5952380952380952,0.5830223880597014,0.152,-1.7,108.2,109.8,0.071,6-9,225,20.0
1641989,Elijah Harkless,UTA,7,9.4,2.4,0.9,0.7,0.6,0.0,0.364,0.286,0.778,0.46875,0.5524861878453038,0.116,14.9,120.6,105.6,0.037,6-3,195,26.0
1642853,Rasheer Fleming,PHX,29,6.5,2.4,1.3,0.2,0.2,0.2,0.347,0.22,0.727,0.40384615384615385,0.43227665706051865,0.178,-8.9,100.0,108.9,0.044,6-9,240,21.0
1630264,Anthony Gill,WAS,27,7.6,2.3,1.6,0.3,0.4,0.2,0.558,0.333,0.833,0.59375,0.6475225225225225,0.114,3.2,107.4,104.2,0.076,6-7,230,33.0
1631216,Caleb Houstan,ATL,10,4.9,2.3,0.5,0.2,0.1,0.1,0.467,0.5,1.0,0.6666666666666666,0.704656862745098,0.169,-5.6,96.3,101.9,0.062,6-8,205,23.0
1631247,Luke Travers,CLE,12,8.6,2.3,2.0,0.8,0.6,0.3,0.25,0.063,1.0,0.2833333333333334,0.34307875894988066,0.161,-13.2,97.3,110.5,0.071,6-6,207,24.0
201145,Jeff Green,HOU,18,4.5,2.3,0.6,0.2,0.1,0.1,0.469,0.435,1.0,0.6111111111111112,0.623644251626898,0.176,-23.8,100.0,123.8,0.102,6-8,235,39.0
1628449,Chris Boucher,BOS,9,10.5,2.3,2.0,0.3,0.6,0.8,0.32,0.133,0.75,0.35714285714285715,0.3864247311827957,0.128,4.4,114.3,109.9,0.04,6-8,200,33.0
1630214,Xavier Tillman,CHA,14,8.0,2.2,1.8,0.4,0.4,0.1,0.452,0.2,0.0,0.5,0.5,0.133,-10.4,111.1,121.5,0.068,6-8,245,27.0
1630587,Isaiah Livers,PHX,29,10.1,2.2,1.9,0.7,0.4,0.3,0.423,0.343,0.7,0.5555555555555556,0.5693581780538303,0.093,4.5,111.2,106.7,0.062,6-6,232,27.0
1631120,JD Davison,HOU,24,7.4,2.2,0.9,1.1,0.2,0.2,0.392,0.296,0.556,0.4523809523809524,0.4833040421792619,0.146,-2.9,107.2,110.1,0.071,6-1,195,23.0
1631159,Leonard Miller,CHI,20,4.9,2.2,1.3,0.3,0.3,0.0,0.545,0.083,0.636,0.5588235294117647,0.560081466395112,0.184,-9.4,102.6,112.1,0.082,6-10,220,22.0
1642905,Yang Hansen,POR,32,7.7,2.2,1.7,0.7,0.1,0.3,0.293,0.135,0.944,0.34615384615384615,0.3840782122905028,0.191,-11.6,97.4,109.1,0.017,7-1,270,20.0
1630604,E.J. Liddell,BKN,10,4.9,2.2,1.1,0.0,0.1,0.0,0.471,0.364,0.667,0.5882352941176471,0.6004366812227075,0.15,1.1,94.2,93.1,0.128,6-6,240,25.0
1641816,Hunter Tyson,DEN,21,7.7,2.2,1.7,0.8,0.1,0.0,0.269,0.212,0.846,0.33999999999999997,0.3979739507959479,0.166,-7.5,100.0,107.5,0.065,6-8,215,25.0
1641752,Bobi Klintman,DET,8,7.5,2.1,2.1,0.5,0.3,0.0,0.318,0.273,0.0,0.3928571428571429,0.3528225806451613,0.178,-12.8,94.0,106.8,0.021,6-9,225,22.0
1642443,Jahmir Young,MIA,8,5.5,2.1,0.5,0.8,0.1,0.0,0.368,0.286,1.0,0.43750000000000006,0.4296235679214403,0.179,-11.2,112.9,124.0,0.038,6-0,185,25.0
1630574,Ariel Hukporti,NYK,38,9.3,2.1,2.9,0.5,0.1,0.6,0.558,0.25,0.731,0.5714285714285715,0.6147540983606558,0.096,-2.6,105.9,108.5,0.077,7-0,246,23.0
1642959,Chris Youngblood,OKC,32,5.4,2.0,0.9,0.3,0.1,0.1,0.333,0.314,0.9,0.4473684210526316,0.4921259842519685,0.163,1.1,104.3,103.3,0.058,6-4,,24.0
1642884,Vladislav Goldin,MIA,2,4.1,2.0,0.5,1.0,0.0,0.5,1.0,0.0,0.0,1.0,1.0,0.087,-3.7,126.3,130.0,0.111,7-0,250,24.0
1643018,LJ Cryer,GSW,3,2.6,2.0,0.3,0.0,0.0,0.0,0.4,0.5,0.0,0.6176470588235293,0.5882352941176471,0.263,35.3,105.9,70.6,0.122,6-0,,24.0
1641732,Colby Jones,DET,1,6.8,2.0,4.0,2.0,0.0,0.0,0.333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.158,80.0,133.3,53.3,0.256,6-6,207,23.0
1642886,Koby Brea,PHX,2,3.9,2.0,0.5,1.0,0.0,0.0,0.333,0.0,1.0,0.3333333333333333,0.5154639175257733,0.182,-55.6,94.4,150.0,0.135,6-5,215,23.0
1642933,Keshon Gilbert,WAS,2,21.1,2.0,2.0,1.5,0.0,2.0,0.0,0.0,1.0,0.0,0.42016806722689076,0.094,-49.8,92.0,141.9,0.012,6-4,200,22.0
1641755,Kevin McCullar Jr.,NYK,15,7.5,2.0,1.5,1.3,0.3,0.0,0.379,0.375,0.4,0.47368421052631576,0.4921259842519685,0.157,-20.1,99.1,119.3,0.051,6-6,210,24.0
1642400,Tristan Enaruna,CLE,2,4.8,2.0,2.5,1.0,0.0,0.0,0.667,0.0,0.0,0.6666666666666666,0.6666666666666666,0.125,36.8,136.8,100.0,0.169,6-7,220,24.0
1642280,Trentyn Flowers,CHI,2,2.8,2.0,0.5,0.5,0.0,0.0,0.667,0.0,0.0,0.6666666666666666,0.6666666666666666,0.25,-18.2,81.8,100.0,0.128,6-9,185,20.0
1631111,Wendell Moore Jr.,DET,5,10.9,2.0,1.2,0.6,0.4,0.4,0.571,0.0,1.0,0.5714285714285715,0.6345177664974619,0.072,39.3,131.6,92.2,0.072,6-5,215,24.0
1630621,Hunter Dickinson,NOP,1,4.7,2.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.5,0.5,0.333,-120.0,60.0,180.0,-0.139,7-1,255,25.0
1641815,Isaiah Stevens,SAC,2,11.3,2.0,1.0,3.0,1.5,0.0,0.0,0.0,1.0,0.0,0.5319148936170213,0.078,-8.0,122.2,130.2,0.105,5-11,185,25.0
1629162,Jordan McLaughlin,SAS,24,5.8,2.0,0.7,0.7,0.5,0.0,0.405,0.409,0.8,0.49999999999999994,0.5296610169491525,0.146,-16.0,97.4,113.4,0.085,5-11,185,29.0
1630548,Johnny Juzang,MIN,21,4.2,2.0,0.8,0.3,0.1,0.0,0.421,0.25,0.625,0.5277777777777778,0.5060728744939271,0.2,-4.6,105.3,109.9,0.085,6-7,226,24.0
1628467,Maxi Kleber,LAL,27,11.4,2.0,1.9,0.7,0.4,0.2,0.396,0.222,0.722,0.41666666666666663,0.47438330170777987,0.091,6.7,115.3,108.6,0.039,6-10,240,34.0
1643007,Taelon Peter,IND,23,7.3,1.9,1.0,0.9,0.3,0.1,0.298,0.279,0.667,0.425,0.44559099437148214,0.143,-6.4,98.6,105.1,0.055,6-3,185,23.0
1630322,Lindy Waters III,SAS,28,6.8,1.9,0.8,0.4,0.1,0.0,0.352,0.319,1.0,0.5,0.5,0.124,-4.1,106.1,110.3,0.043,6-5,210,28.0
1642355,Bronny James,LAL,27,6.8,1.9,0.4,1.1,0.4,0.0,0.388,0.375,0.8,0.4722222222222222,0.5031779661016949,0.146,-2.9,108.1,110.9,0.06,6-2,210,21.0
203486,Mason Plumlee,CHA,14,8.9,1.9,2.9,1.1,0.4,0.0,0.75,0.0,0.667,0.6666666666666666,0.7330246913580246,0.084,3.5,119.4,115.9,0.097,7-0,254,35.0
