PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,REB,AST,STL,BLK,PIE,TS_PCT,NET_RATING,PER_APPROX,BPM_APPROX,VORP_APPROX,WIN_SHARES_APPROX,VALUE_SCORE,AGE_ADJ,VALUE_SCORE_ADJ,SALARY_M,CAP_PCT,SALARY_TIER,MARKET_VALUE_M,SURPLUS_VALUE_M,PLAY_STYLE,PLAY_STYLE_CN,OFFENSIVE_ROLE,DEFENSIVE_ROLE,POSITIONS,POSITION_FLEX,FIT_VERSATILITY_SCORE,CONTRACT_TYPE,CONTRACT_TYPE_CN,YEARS_REMAINING,CONTRACT_FLEXIBILITY,TRADE_RESTRICTIONS,TRADE_VALUE,TRADE_VALUE_TIER
Ausar Thompson,DET,23.0,48,25.8,10.4,6.0,2.7,1.9,0.8,0.099,0.5405405405405405,8.6,17.61,4.08,1.91,3.69,61.2,3,64.2,8.78,5.74,ROLE_PLAYER,16.52,7.74,ROLE_PLAYER,角色球員型,FINISHER,PERIMETER_STOPPER,SF/SG,2,77.4,ROOKIE_EXT,新秀延長,4,50.0,ROOKIE_EXT_WAIT,61.1,ALL_STAR
Bam Adebayo,MIA,28.0,47,31.3,18.3,9.8,2.8,1.0,0.6,0.132,0.5504090471607316,5.2,20.27,3.57,2.08,5.05,76.5,0,76.5,37.1,24.25,MAX,26.5,-10.6,STRETCH_BIG,空間型大個子,SECONDARY_SCORER,REBOUNDER,PF/SF,2,74.6,HIGH_VALUE,高薪,3,15.0,DIFFICULT_TO_MATCH,60.5,ALL_STAR
Jalen Suggs,ORL,24.0,32,26.4,14.0,4.1,5.4,1.9,0.7,0.118,0.5717085919634106,7.2,18.78,4.96,1.49,2.69,70.5,3,73.5,35.0,22.88,MAX,23.5,-11.5,PLAYMAKER,組織者型,SECONDARY_PLAYMAKER,PERIMETER_STOPPER,PG/SG,2,79.3,HIGH_VALUE,高薪,3,15.0,DIFFICULT_TO_MATCH,60.5,ALL_STAR
Isaiah Collier,UTA,21.0,46,25.3,10.3,2.7,7.2,1.0,0.3,0.098,0.5773542600896862,-12.7,17.81,-3.23,-0.36,3.51,51.9,5,56.9,2.64,1.73,MINIMUM_PLUS,12.14,9.5,ROLE_PLAYER,角色球員型,PRIMARY_PLAYMAKER,LIMITED_DEFENDER,PG/SG,2,46.8,ROOKIE_SCALE,新秀合約,2,85.0,NONE,60.2,ALL_STAR
Day'Ron Sharpe,BKN,24.0,50,18.3,8.3,6.6,2.2,1.1,0.4,0.143,0.644009931719429,-2.6,16.84,0.67,0.62,2.61,65.9,3,68.9,6.25,4.08,ROLE_PLAYER,19.34,13.09,ROLE_PLAYER,角色球員型,FINISHER,LIMITED_DEFENDER,PF/SF,2,50.4,ROOKIE_EXT,新秀延長,4,50.0,ROOKIE_EXT_WAIT,60.0,ALL_STAR
Brandin Podziemski,GSW,22.0,54,26.7,11.9,4.6,3.6,1.1,0.2,0.105,0.5690512624330528,2.4,15.27,0.86,1.05,3.73,56.3,5,61.3,3.69,2.41,MINIMUM_PLUS,14.78,11.09,THREE_AND_D,3D 球員型,FLOOR_SPACER,LIMITED_DEFENDER,PG/SG,2,47.5,ROOKIE_SCALE,新秀合約,1,95.0,NONE,59.7,ALL_STAR
Jaylen Brown,BOS,29.0,48,34.3,29.4,6.9,4.7,1.0,0.4,0.152,0.572429906542056,4.0,24.1,4.91,2.89,6.72,87.7,-2,85.7,53.14,34.73,SUPERMAX,35.7,-17.44,VERSATILE_SCORER,多元得分手型,PRIMARY_SCORER,LIMITED_DEFENDER,PG/SG,2,59.7,MAX,頂薪,3,5.0,HARD_TO_MATCH,59.7,ALL_STAR
Cam Spencer,MEM,25.0,50,24.2,11.8,2.7,5.6,0.7,0.1,0.124,0.6644144144144144,-0.7,16.29,1.19,0.98,3.34,65.6,0,65.6,2.54,1.66,MINIMUM_PLUS,17.36,14.82,THREE_AND_D,3D 球員型,SECONDARY_PLAYMAKER,LIMITED_DEFENDER,PG,1,27.0,MINIMUM,底薪,1,95.0,NONE,59.6,ALL_STAR
Julian Champagnie,SAS,24.0,52,28.3,11.4,6.0,1.4,0.8,0.4,0.093,0.6040695209834676,9.7,13.78,3.25,1.96,3.43,55.2,3,58.2,3.0,1.96,MINIMUM_PLUS,12.92,9.92,THREE_AND_D,3D 球員型,FLOOR_SPACER,LIMITED_DEFENDER,SF/SG,2,47.1,ROOKIE_SCALE,新秀合約,1,95.0,NONE,59.5,ALL_STAR
Anthony Davis,WAS,32.0,20,31.3,20.4,11.1,2.8,1.1,1.7,0.151,0.5512321660181583,-4.6,25.06,3.02,0.8,2.66,78.8,-2,76.8,54.13,35.38,SUPERMAX,25.46,-28.67,RIM_PROTECTOR,護框中鋒型,SECONDARY_SCORER,RIM_PROTECTOR,PF/SF,2,74.6,SUPERMAX,超級頂薪,4,0.0,NTC|HARD_TO_MATCH,59.4,ALL_STAR
Ivica Zubac,IND,28.0,43,30.9,14.4,11.0,2.2,0.4,0.8,0.132,0.6335797254487856,-0.8,22.5,2.34,1.47,5.06,79.9,0,79.9,18.1,11.83,MID_LEVEL,29.9,11.8,ROLE_PLAYER,角色球員型,FINISHER,REBOUNDER,C/PF,2,53.1,MID_LEVEL,中產,2,65.0,NONE,59.3,ALL_STAR
Kevin Durant,HOU,37.0,49,36.7,25.9,5.3,4.4,0.9,0.9,0.146,0.6277874733372115,5.9,23.15,6.27,3.78,7.05,90.0,-5,85.0,54.71,35.76,SUPERMAX,24.5,-30.21,STRETCH_BIG,空間型大個子,SECONDARY_SCORER,LIMITED_DEFENDER,C/PF,2,62.0,SUPERMAX,超級頂薪,2,0.0,NTC|HARD_TO_MATCH,59.1,ALL_STAR
Julius Randle,MIN,31.0,55,33.6,22.0,7.0,5.5,1.1,0.3,0.135,0.5936960276338514,4.9,23.02,4.72,3.16,7.21,86.0,-2,84.0,30.86,20.17,MAX,32.3,1.44,PLAYMAKER,組織者型,SECONDARY_SCORER,LIMITED_DEFENDER,PF/SF,2,53.8,HIGH_VALUE,高薪,3,40.0,NONE,58.6,ALL_STAR
VJ Edgecombe,PHI,20.0,49,35.4,14.9,5.4,4.2,1.5,0.5,0.084,0.5316871253211533,1.8,17.24,1.74,1.65,5.07,55.1,5,60.1,11.11,7.26,MID_LEVEL,14.06,2.95,TWO_WAY_WING,雙向側翼型,SECONDARY_PLAYMAKER,PERIMETER_STOPPER,PG/SG,2,84.8,ROOKIE_EXT,新秀延長,4,40.0,ROOKIE_EXT_WAIT,58.6,ALL_STAR
Derrick White,BOS,31.0,51,34.3,17.4,4.4,5.5,1.2,1.4,0.111,0.5244755244755244,10.7,17.81,5.66,3.4,5.28,69.9,-2,67.9,28.1,18.37,NEAR_MAX,17.8,-10.3,PLAYMAKER,組織者型,SECONDARY_PLAYMAKER,VERSATILE_DEFENDER,PG/SG,2,81.7,HIGH_VALUE,高薪,3,40.0,NONE,58.2,ALL_STAR
Maxime Raynaud,SAC,22.0,47,23.4,9.9,6.7,1.0,0.5,0.5,0.1,0.5929563967417346,-11.5,15.01,-3.82,-0.51,2.8,46.1,5,51.1,1.27,0.83,MINIMUM,8.66,7.39,ROLE_PLAYER,角色球員型,FINISHER,LIMITED_DEFENDER,C/PF,2,43.1,TWO_WAY,雙向合約,1,95.0,NONE,58.0,ALL_STAR
OG Anunoby,NYK,28.0,41,33.0,16.6,5.5,2.4,1.7,0.7,0.098,0.6040756914119361,8.2,18.35,5.53,2.59,4.21,69.7,0,69.7,39.57,25.86,MAX,19.82,-19.75,TWO_WAY_WING,雙向側翼型,FLOOR_SPACER,PERIMETER_STOPPER,SF/SG,2,79.9,NEAR_MAX,準頂薪,3,15.0,DIFFICULT_TO_MATCH,57.9,ALL_STAR
James Harden,CLE,36.0,46,35.4,25.3,4.9,8.1,1.3,0.4,0.148,0.6008930267908037,0.4,22.67,4.69,2.77,6.25,87.4,-5,82.4,39.45,25.78,MAX,22.68,-16.77,FLOOR_GENERAL,地板指揮官型,PRIMARY_PLAYMAKER,LIMITED_DEFENDER,PG/SG,2,59.7,NEAR_MAX,準頂薪,3,15.0,DIFFICULT_TO_MATCH,57.5,ALL_STAR
Tari Eason,HOU,24.0,30,25.1,12.2,6.3,1.4,1.3,0.6,0.1,0.5763416477702192,5.9,15.5,2.79,0.92,1.98,55.6,3,58.6,5.68,3.71,ROLE_PLAYER,13.16,7.48,TWO_WAY_WING,雙向側翼型,FLOOR_SPACER,VERSATILE_DEFENDER,SF/SG,2,68.1,ROOKIE_SCALE,新秀合約,1,85.0,NONE,57.2,ALL_STAR
Rudy Gobert,MIN,33.0,53,31.3,10.9,11.2,1.7,0.8,1.6,0.118,0.6761786600496278,6.7,23.18,6.63,3.64,6.51,82.0,-5,77.0,35.0,22.88,MAX,22.95,-12.05,RIM_PROTECTOR,護框中鋒型,FINISHER,RIM_PROTECTOR,C/PF,2,63.4,HIGH_VALUE,高薪,3,15.0,DIFFICULT_TO_MATCH,56.5,ALL_STAR
Cedric Coward,MEM,22.0,48,26.3,13.3,6.2,2.9,0.6,0.4,0.11,0.5782608695652174,1.0,16.23,0.53,0.81,3.47,59.7,5,64.7,5.72,3.74,ROLE_PLAYER,16.82,11.1,ROLE_PLAYER,角色球員型,FINISHER,LIMITED_DEFENDER,PG/SG,2,47.5,ROOKIE_SCALE,新秀合約,1,85.0,NONE,56.0,ALL_STAR
Nickeil Alexander-Walker,ATL,27.0,53,33.1,20.3,3.6,3.7,1.2,0.6,0.098,0.5809294871794871,-1.5,17.0,1.76,1.68,5.05,63.4,0,63.4,15.16,9.91,MID_LEVEL,16.04,0.88,TWO_WAY_WING,雙向側翼型,SECONDARY_SCORER,VERSATILE_DEFENDER,PG/SG,2,75.5,MID_LEVEL,中產,2,65.0,NONE,55.9,ALL_STAR
Josh Hart,NYK,30.0,42,30.6,12.3,7.6,5.1,1.2,0.3,0.123,0.6101190476190477,5.8,20.6,4.03,1.97,4.48,77.9,-2,75.9,19.47,12.73,MID_LEVEL,25.9,6.43,TWO_WAY_WING,雙向側翼型,SECONDARY_PLAYMAKER,LIMITED_DEFENDER,PG/SG,2,53.8,MID_LEVEL,中產,2,65.0,NONE,55.9,ALL_STAR
Franz Wagner,ORL,24.0,27,32.2,21.9,6.0,3.6,1.0,0.3,0.139,0.5945916594265855,2.2,20.15,3.09,1.12,2.97,77.6,3,80.6,38.66,25.27,MAX,30.6,-8.06,STRETCH_BIG,空間型大個子,SECONDARY_SCORER,LIMITED_DEFENDER,PF/SF,2,53.8,NEAR_MAX,準頂薪,3,15.0,DIFFICULT_TO_MATCH,55.6,ALL_STAR
Matas Buzelis,CHI,21.0,54,28.3,15.2,5.3,2.0,0.6,1.5,0.093,0.5995582202587567,-3.4,16.88,1.16,1.23,4.37,58.5,5,63.5,5.46,3.57,ROLE_PLAYER,16.1,10.64,THREE_AND_D,3D 球員型,FLOOR_SPACER,LIMITED_DEFENDER,SF/SG,2,47.5,ROOKIE_SCALE,新秀合約,2,75.0,NONE,55.5,ALL_STAR
Joel Embiid,PHI,31.0,31,31.3,26.6,7.5,3.9,0.6,1.1,0.163,0.6049854439592431,6.1,23.91,6.14,2.01,3.93,88.1,-2,86.1,55.22,36.09,SUPERMAX,34.29,-20.93,VERSATILE_SCORER,多元得分手型,PRIMARY_SCORER,LIMITED_DEFENDER,C/PF,2,47.5,SUPERMAX,超級頂薪,4,0.0,NTC|HARD_TO_MATCH,55.3,ALL_STAR
Donte DiVincenzo,MIN,29.0,55,31.2,13.0,4.5,4.2,1.4,0.5,0.089,0.5772646536412078,7.4,16.06,3.72,2.49,4.67,59.5,-2,57.5,11.99,7.84,MID_LEVEL,12.5,0.51,TWO_WAY_WING,雙向側翼型,SECONDARY_PLAYMAKER,VERSATILE_DEFENDER,PG/SG,2,82.4,MID_LEVEL,中產,2,65.0,NONE,55.2,ALL_STAR
Jaren Jackson Jr.,UTA,26.0,47,30.5,19.3,5.7,2.0,1.1,1.4,0.106,0.5727682811016145,-2.9,18.67,2.07,1.48,4.53,66.6,0,66.6,35.0,22.88,MAX,17.96,-17.04,STRETCH_BIG,空間型大個子,SECONDARY_SCORER,VERSATILE_DEFENDER,PF/SF,2,75.5,HIGH_VALUE,高薪,3,15.0,DIFFICULT_TO_MATCH,54.8,QUALITY_STARTER
Brandon Ingram,TOR,28.0,52,34.0,22.0,5.8,3.7,0.8,0.8,0.123,0.5692403229145104,1.7,19.94,2.88,2.19,5.97,76.5,0,76.5,38.1,24.9,MAX,26.5,-11.6,SCORING_GUARD,得分後衛型,SECONDARY_SCORER,LIMITED_DEFENDER,SF/SG,2,57.3,HIGH_VALUE,高薪,3,15.0,DIFFICULT_TO_MATCH,54.3,QUALITY_STARTER
Michael Porter Jr.,BKN,27.0,41,33.0,25.0,7.2,3.2,1.0,0.2,0.147,0.609994144056217,-3.7,21.21,2.08,1.4,4.86,81.3,0,81.3,38.33,25.05,MAX,31.3,-7.03,STRETCH_BIG,空間型大個子,SECONDARY_SCORER,LIMITED_DEFENDER,PF/SF,2,47.5,NEAR_MAX,準頂薪,3,15.0,DIFFICULT_TO_MATCH,53.9,QUALITY_STARTER
Jock Landale,ATL,30.0,48,23.5,11.5,6.4,1.7,0.5,0.5,0.103,0.6065400843881856,-4.7,15.79,-1.15,0.24,3.02,54.0,-2,52.0,2.3,1.5,MINIMUM_PLUS,9.2,6.9,STRETCH_BIG,空間型大個子,FLOOR_SPACER,LIMITED_DEFENDER,C/PF,2,43.5,MINIMUM,底薪,1,95.0,NONE,53.5,QUALITY_STARTER
Devin Booker,PHX,29.0,43,33.9,25.2,4.0,6.3,0.9,0.3,0.138,0.580110497237569,4.6,20.88,4.14,2.27,5.16,80.9,-2,78.9,53.14,34.73,SUPERMAX,28.9,-24.24,VERSATILE_SCORER,多元得分手型,SECONDARY_SCORER,LIMITED_DEFENDER,PG/SG,2,53.8,MAX,頂薪,3,5.0,HARD_TO_MATCH,53.4,QUALITY_STARTER
Nikola Vučević,BOS,35.0,50,30.6,16.6,9.0,3.7,0.7,0.6,0.127,0.5802572706935123,-4.6,21.24,0.59,1.01,5.5,75.1,-5,70.1,21.48,14.04,NEAR_MAX,14.07,-7.41,STRETCH_BIG,空間型大個子,FLOOR_SPACER,REBOUNDER,PF/SF,2,64.4,HIGH_VALUE,高薪,3,40.0,NONE,53.4,QUALITY_STARTER
Kyle Filipowski,UTA,22.0,53,22.2,9.7,6.7,2.0,0.8,0.4,0.095,0.5735572374645223,-5.1,15.19,-1.76,0.07,3.03,47.5,5,52.5,3.0,1.96,MINIMUM_PLUS,9.5,6.5,STRETCH_BIG,空間型大個子,FINISHER,LIMITED_DEFENDER,C/PF,2,54.0,ROOKIE_SCALE,新秀合約,1,95.0,NONE,53.3,QUALITY_STARTER
Jusuf Nurkić,UTA,31.0,40,26.4,11.0,10.4,4.8,1.3,0.6,0.121,0.5482456140350878,-8.4,22.1,-0.58,0.38,3.95,66.4,-2,64.4,19.38,12.67,MID_LEVEL,15.81,-3.57,STRETCH_BIG,空間型大個子,SECONDARY_PLAYMAKER,REBOUNDER,C/PF,2,69.8,MID_LEVEL,中產,2,65.0,NONE,53.2,QUALITY_STARTER
Oso Ighodaro,PHX,23.0,54,20.1,5.5,4.6,1.8,0.9,0.6,0.081,0.6149373881932022,6.9,13.6,2.01,1.11,2.5,43.8,3,46.8,1.96,1.28,MINIMUM,7.2,5.24,ROLE_PLAYER,角色球員型,FINISHER,SOLID_DEFENDER,C/PF,2,54.2,ROOKIE_SCALE,新秀合約,1,95.0,NONE,53.0,QUALITY_STARTER
Russell Westbrook,SAC,37.0,52,29.3,15.3,5.7,6.6,1.3,0.2,0.106,0.5337705833100754,-11.8,19.39,-2.33,-0.13,5.0,59.8,-5,54.8,2.3,1.5,MINIMUM_PLUS,7.62,5.32,PLAYMAKER,組織者型,SECONDARY_PLAYMAKER,LIMITED_DEFENDER,PG/SG,2,47.5,MINIMUM,底薪,1,95.0,NONE,52.9,QUALITY_STARTER
Jimmy Butler III,GSW,36.0,38,31.1,20.0,5.6,4.9,1.4,0.2,0.155,0.6433350488934638,7.3,22.08,6.0,2.4,4.42,87.8,-5,82.8,54.13,35.38,SUPERMAX,22.96,-31.17,TWO_WAY_WING,雙向側翼型,SECONDARY_PLAYMAKER,LIMITED_DEFENDER,PG/SG,2,47.5,SUPERMAX,超級頂薪,2,0.0,NTC|HARD_TO_MATCH,52.6,QUALITY_STARTER
Paul George,PHI,35.0,27,30.5,16.0,5.1,3.7,1.5,0.5,0.111,0.5581914596706671,5.7,16.92,3.42,1.13,2.36,63.7,-5,58.7,51.67,33.77,SUPERMAX,9.25,-42.42,TWO_WAY_WING,雙向側翼型,FLOOR_SPACER,PERIMETER_STOPPER,SF/SG,2,84.8,MAX,頂薪,2,15.0,HARD_TO_MATCH,52.4,QUALITY_STARTER
Andrew Wiggins,MIA,30.0,50,31.3,15.9,5.0,2.8,1.2,1.0,0.092,0.5673708250071368,-0.4,17.47,1.81,1.51,4.63,59.2,-2,57.2,28.22,18.44,NEAR_MAX,12.32,-15.9,TWO_WAY_WING,雙向側翼型,FLOOR_SPACER,VERSATILE_DEFENDER,PG/SG,2,83.6,HIGH_VALUE,高薪,3,40.0,NONE,52.4,QUALITY_STARTER
Toumani Camara,POR,25.0,54,33.6,13.2,5.3,2.6,1.0,0.4,0.068,0.5765199161425577,-0.1,15.11,0.49,1.15,4.64,46.0,0,46.0,2.22,1.45,MINIMUM_PLUS,7.0,4.78,TWO_WAY_WING,雙向側翼型,FLOOR_SPACER,LIMITED_DEFENDER,SF/SG,2,59.7,MINIMUM,底薪,1,95.0,NONE,51.9,QUALITY_STARTER
Pelle Larsson,MIA,24.0,45,23.9,10.2,3.3,3.3,0.6,0.2,0.089,0.5969101123595505,1.7,13.77,-0.14,0.51,2.51,44.6,3,47.6,1.96,1.28,MINIMUM,7.4,5.44,ROLE_PLAYER,角色球員型,FINISHER,LIMITED_DEFENDER,PG/SG,2,47.5,ROOKIE_SCALE,新秀合約,1,95.0,NONE,51.6,QUALITY_STARTER
Aaron Gordon,DEN,30.0,23,27.9,17.7,6.2,2.5,0.7,0.2,0.138,0.6335910652920962,14.0,18.27,5.94,1.29,1.99,75.8,-2,73.8,22.84,14.93,NEAR_MAX,23.8,0.96,ROLE_PLAYER,角色球員型,FLOOR_SPACER,LIMITED_DEFENDER,SF/SG,2,47.5,HIGH_VALUE,高薪,3,40.0,NONE,51.1,QUALITY_STARTER
Tre Jones,CHI,26.0,38,26.9,12.4,3.0,5.8,1.3,0.2,0.121,0.6537326022775201,-1.9,18.7,1.86,1.0,3.24,69.7,0,69.7,8.0,5.23,ROLE_PLAYER,19.82,11.82,ROLE_PLAYER,角色球員型,SECONDARY_PLAYMAKER,LIMITED_DEFENDER,PG,1,32.5,ROLE_PLAYER,角色球員,2,75.0,NONE,51.0,QUALITY_STARTER
Luka Garza,BOS,27.0,44,16.9,7.9,4.3,1.0,0.4,0.5,0.106,0.6939564300773015,6.3,13.15,2.61,0.87,1.66,51.8,0,51.8,2.46,1.61,MINIMUM_PLUS,9.08,6.62,STRETCH_BIG,空間型大個子,FLOOR_SPACER,LIMITED_DEFENDER,PF/SF,2,41.1,MINIMUM,底薪,1,95.0,NONE,51.0,QUALITY_STARTER
Payton Pritchard,BOS,28.0,52,32.7,17.1,4.2,5.3,0.8,0.1,0.121,0.5745967741935484,5.1,17.67,2.3,1.86,5.09,70.3,0,70.3,7.23,4.73,ROLE_PLAYER,20.3,13.07,PLAYMAKER,組織者型,SECONDARY_PLAYMAKER,LIMITED_DEFENDER,PG,1,27.0,ROLE_PLAYER,角色球員,2,75.0,NONE,50.9,QUALITY_STARTER
Nic Claxton,BKN,26.0,50,29.3,12.5,7.3,4.0,0.7,1.3,0.121,0.605151045701007,-10.5,21.14,-0.51,0.55,5.25,71.6,0,71.6,25.35,16.57,NEAR_MAX,21.6,-3.75,ROLE_PLAYER,角色球員型,SECONDARY_PLAYMAKER,LIMITED_DEFENDER,C/PF,2,52.4,HIGH_VALUE,高薪,3,40.0,NONE,50.8,QUALITY_STARTER
Robert Williams III,POR,28.0,37,16.4,6.5,6.5,1.1,0.6,1.4,0.167,0.7911392405063292,-0.4,17.19,4.45,0.99,1.77,70.4,0,70.4,13.29,8.69,MID_LEVEL,20.4,7.11,STRETCH_BIG,空間型大個子,FLOOR_SPACER,LIMITED_DEFENDER,PF/SF,2,44.0,MID_LEVEL,中產,2,65.0,NONE,50.6,QUALITY_STARTER
LaMelo Ball,CHA,24.0,44,27.6,19.2,4.8,7.4,1.1,0.2,0.129,0.536312849162011,6.5,19.07,3.52,1.7,3.92,72.8,3,75.8,37.96,24.81,MAX,25.8,-12.16,SCORING_GUARD,得分後衛型,PRIMARY_PLAYMAKER,LIMITED_DEFENDER,SF/SG,2,47.5,HIGH_VALUE,高薪,3,15.0,DIFFICULT_TO_MATCH,50.3,QUALITY_STARTER
Shaedon Sharpe,POR,22.0,48,30.0,21.4,4.4,2.6,1.4,0.1,0.11,0.552685950413223,-1.6,16.89,0.76,1.01,4.12,60.6,5,65.6,8.4,5.49,ROLE_PLAYER,17.36,8.96,TWO_WAY_WING,雙向側翼型,SECONDARY_SCORER,LIMITED_DEFENDER,PG/SG,2,42.0,ROOKIE_EXT,新秀延長,4,50.0,ROOKIE_EXT_WAIT,50.1,QUALITY_STARTER
Santi Aldama,MEM,25.0,43,27.9,14.0,6.7,2.9,0.9,0.7,0.115,0.5696614583333334,-2.4,17.75,0.44,0.74,3.61,63.4,0,63.4,18.49,12.08,MID_LEVEL,16.04,-2.45,STRETCH_BIG,空間型大個子,FINISHER,LIMITED_DEFENDER,C/PF,2,62.0,MID_LEVEL,中產,2,65.0,NONE,50.1,QUALITY_STARTER
Naji Marshall,DAL,28.0,52,29.6,15.0,5.0,3.0,1.0,0.1,0.111,0.6190161769560911,-2.5,17.49,0.48,0.97,4.56,65.9,0,65.9,9.0,5.88,ROLE_PLAYER,17.54,8.54,ROLE_PLAYER,角色球員型,FINISHER,LIMITED_DEFENDER,PG/SG,2,42.0,ROLE_PLAYER,角色球員,2,75.0,NONE,49.7,QUALITY_STARTER
Desmond Bane,ORL,27.0,52,33.9,19.4,4.2,4.2,0.9,0.5,0.102,0.581813819577735,1.1,18.17,2.07,1.82,5.43,68.0,0,68.0,36.73,24.01,MAX,18.8,-17.93,ROLE_PLAYER,角色球員型,SECONDARY_PLAYMAKER,LIMITED_DEFENDER,PG/SG,2,59.2,HIGH_VALUE,高薪,3,15.0,DIFFICULT_TO_MATCH,49.6,QUALITY_STARTER
Ayo Dosunmu,MIN,26.0,47,26.4,15.1,2.9,3.6,0.8,0.3,0.111,0.6338146406984553,-4.4,16.31,-0.05,0.61,3.43,61.2,0,61.2,7.52,4.92,ROLE_PLAYER,14.72,7.2,THREE_AND_D,3D 球員型,FLOOR_SPACER,LIMITED_DEFENDER,PG/SG,2,48.5,ROLE_PLAYER,角色球員,2,75.0,NONE,49.6,QUALITY_STARTER
Jabari Smith Jr.,HOU,22.0,51,35.1,15.2,7.0,1.9,0.8,1.0,0.09,0.5552308591466978,5.0,16.53,2.66,2.12,5.01,58.0,5,63.0,12.35,8.07,MID_LEVEL,15.8,3.45,STRETCH_BIG,空間型大個子,FLOOR_SPACER,LIMITED_DEFENDER,C/PF,2,53.2,ROOKIE_EXT,新秀延長,4,40.0,ROOKIE_EXT_WAIT,48.8,QUALITY_STARTER
Keldon Johnson,SAS,26.0,52,23.8,13.5,5.9,1.4,0.7,0.2,0.131,0.6463040980467254,4.4,16.33,2.35,1.37,3.42,69.0,0,69.0,17.5,11.44,MID_LEVEL,19.4,1.9,THREE_AND_D,3D 球員型,FLOOR_SPACER,LIMITED_DEFENDER,PG/SG,2,47.1,MID_LEVEL,中產,2,65.0,NONE,48.8,QUALITY_STARTER
Wendell Carter Jr.,ORL,26.0,50,29.5,11.7,7.3,2.1,0.8,0.7,0.094,0.6073504983388704,1.0,17.18,1.64,1.36,4.29,60.1,0,60.1,10.85,7.09,MID_LEVEL,14.06,3.21,STRETCH_BIG,空間型大個子,FINISHER,LIMITED_DEFENDER,PF/SF,2,55.9,MID_LEVEL,中產,2,65.0,NONE,48.4,QUALITY_STARTER
Jaden McDaniels,MIN,25.0,53,32.1,14.9,4.2,2.8,0.9,1.0,0.087,0.623118099698896,5.9,17.47,4.06,2.62,5.03,64.0,0,64.0,24.86,16.25,NEAR_MAX,16.4,-8.46,STRETCH_BIG,空間型大個子,FLOOR_SPACER,LIMITED_DEFENDER,PF/SF,2,59.2,HIGH_VALUE,高薪,3,40.0,NONE,48.3,QUALITY_STARTER
Luke Kornet,SAS,30.0,42,23.4,7.5,6.8,2.0,0.5,1.2,0.113,0.6970260223048327,3.8,17.32,3.82,1.45,2.88,67.4,-2,65.4,11.0,7.19,MID_LEVEL,17.24,6.24,ROLE_PLAYER,角色球員型,FINISHER,LIMITED_DEFENDER,C/PF,2,43.5,MID_LEVEL,中產,2,65.0,NONE,48.1,QUALITY_STARTER
Jordan Miller,LAC,26.0,32,19.8,9.3,3.2,1.7,0.7,0.2,0.109,0.6342062193126023,-0.1,12.48,-0.34,0.27,1.34,46.0,0,46.0,2.19,1.43,MINIMUM_PLUS,7.0,4.81,THREE_AND_D,3D 球員型,FLOOR_SPACER,LIMITED_DEFENDER,PG/SG,2,47.5,MINIMUM,底薪,1,95.0,NONE,47.8,QUALITY_STARTER
RJ Barrett,TOR,25.0,30,29.5,18.6,5.3,3.6,0.8,0.3,0.112,0.5716744529136956,4.0,18.06,2.23,0.95,2.71,65.9,0,65.9,27.71,18.11,NEAR_MAX,17.54,-10.17,ROLE_PLAYER,角色球員型,SECONDARY_SCORER,LIMITED_DEFENDER,PG/SG,2,53.8,HIGH_VALUE,高薪,3,40.0,NONE,47.2,QUALITY_STARTER
De'Aaron Fox,SAS,28.0,43,32.4,19.5,4.0,6.2,1.2,0.3,0.117,0.5813260195564036,5.1,20.4,3.88,2.08,4.81,75.6,0,75.6,37.1,24.25,MAX,25.6,-11.5,PLAYMAKER,組織者型,SECONDARY_SCORER,LIMITED_DEFENDER,PG,1,38.8,HIGH_VALUE,高薪,3,15.0,DIFFICULT_TO_MATCH,47.2,QUALITY_STARTER
Stephen Curry,GSW,37.0,39,31.3,27.2,3.5,4.8,1.1,0.4,0.145,0.6358705816345613,2.3,20.84,4.84,2.12,4.31,83.6,-5,78.6,59.61,38.96,SUPERMAX,20.02,-39.59,VERSATILE_SCORER,多元得分手型,PRIMARY_SCORER,LIMITED_DEFENDER,PG,1,38.3,SUPERMAX,超級頂薪,2,0.0,NTC|HARD_TO_MATCH,46.8,QUALITY_STARTER
Jakob Poeltl,TOR,30.0,21,25.3,9.7,7.7,2.1,0.8,0.5,0.108,0.6960390355912743,-0.7,18.92,2.38,0.59,1.7,65.1,-2,63.1,19.5,12.75,MID_LEVEL,15.86,-3.64,ROLE_PLAYER,角色球員型,FINISHER,LIMITED_DEFENDER,C/PF,2,54.0,MID_LEVEL,中產,2,65.0,NONE,46.8,QUALITY_STARTER
Mitchell Robinson,NYK,27.0,38,19.8,4.8,8.9,1.0,0.8,1.1,0.109,0.6237006237006237,8.1,16.64,3.7,1.09,2.12,59.8,0,59.8,12.95,8.46,MID_LEVEL,13.88,0.93,ROLE_PLAYER,角色球員型,FINISHER,REBOUNDER,C/PF,2,52.9,MID_LEVEL,中產,2,65.0,NONE,46.0,QUALITY_STARTER
