PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,REB,AST,STL,BLK,PIE,TS_PCT,NET_RATING,PER_APPROX,BPM_APPROX,VORP_APPROX,WIN_SHARES_APPROX,VALUE_SCORE,AGE_ADJ,VALUE_SCORE_ADJ,SALARY_M,CAP_PCT,SALARY_TIER,MARKET_VALUE_M,SURPLUS_VALUE_M,PLAY_STYLE,PLAY_STYLE_CN,OFFENSIVE_ROLE,DEFENSIVE_ROLE,POSITIONS,POSITION_FLEX,FIT_VERSATILITY_SCORE,CONTRACT_TYPE,CONTRACT_TYPE_CN,YEARS_REMAINING,CONTRACT_FLEXIBILITY,TRADE_RESTRICTIONS,TRADE_VALUE,TRADE_VALUE_TIER
Shai Gilgeous-Alexander,OKC,27.0,49,33.3,31.8,4.4,6.4,1.3,0.8,0.209,0.6695300656897424,15.5,28.72,11.64,5.65,7.94,95.9,0,95.9,38.33,25.05,MAX,46.49,8.16,VERSATILE_SCORER,多元得分手型,PRIMARY_SCORER,VERSATILE_DEFENDER,PG/SG,2,81.7,NEAR_MAX,準頂薪,3,15.0,DIFFICULT_TO_MATCH,75.6,FRANCHISE
Moussa Diabaté,CHA,24.0,50,25.2,8.2,8.6,1.6,0.7,1.0,0.11,0.6520356234096691,7.7,18.25,4.45,2.06,3.89,69.4,3,72.4,2.27,1.48,MINIMUM_PLUS,22.4,20.13,STRETCH_BIG,空間型大個子,FLOOR_SPACER,REBOUNDER,PF/SF,2,62.0,ROOKIE_SCALE,新秀合約,1,95.0,NONE,75.6,FRANCHISE
Derik Queen,NOP,21.0,54,25.9,12.2,7.3,4.2,1.1,0.9,0.114,0.5541424418604651,-6.6,19.55,-0.36,0.58,4.63,64.8,5,69.8,5.16,3.37,ROLE_PLAYER,19.88,14.72,ROLE_PLAYER,角色球員型,SECONDARY_PLAYMAKER,VERSATILE_DEFENDER,PF/SF,2,81.6,ROOKIE_SCALE,新秀合約,2,75.0,NONE,75.5,FRANCHISE
Nikola Jokić,DEN,30.0,38,34.3,28.8,12.2,10.7,1.4,0.8,0.227,0.7028504490433425,11.7,39.14,13.5,5.13,8.64,99.3,-2,97.3,55.22,36.09,SUPERMAX,48.03,-7.19,FLOOR_GENERAL,地板指揮官型,PRIMARY_PLAYMAKER,REBOUNDER,C/PF,2,83.7,SUPERMAX,超級頂薪,4,0.0,NTC|HARD_TO_MATCH,75.3,FRANCHISE
Cade Cunningham,DET,24.0,46,35.0,25.3,5.6,9.6,1.4,0.8,0.16,0.564127720299679,10.5,26.65,8.25,4.19,7.27,90.0,3,93.0,46.39,30.32,SUPERMAX,43.3,-3.09,FLOOR_GENERAL,地板指揮官型,PRIMARY_PLAYMAKER,VERSATILE_DEFENDER,PG/SG,2,88.8,MAX,頂薪,3,5.0,POSSIBLE_3MO_WAIT|HARD_TO_MATCH,75.2,FRANCHISE
Luka Dončić,LAL,26.0,42,35.5,32.8,7.8,8.6,1.5,0.5,0.185,0.6120316465144051,0.9,30.08,7.34,3.54,7.6,95.5,0,95.5,54.13,35.38,SUPERMAX,46.05,-8.08,FLOOR_GENERAL,地板指揮官型,PRIMARY_SCORER,PERIMETER_STOPPER,SF/SG,2,84.8,SUPERMAX,超級頂薪,4,0.0,POSSIBLE_3MO_WAIT|HARD_TO_MATCH,74.6,FRANCHISE
Anthony Edwards,MIN,24.0,45,35.5,29.6,5.2,3.8,1.3,0.8,0.15,0.6166666666666667,3.6,23.49,6.19,3.32,6.36,90.0,3,93.0,45.55,29.77,SUPERMAX,43.3,-2.25,VERSATILE_SCORER,多元得分手型,PRIMARY_SCORER,VERSATILE_DEFENDER,PG/SG,2,86.8,NEAR_MAX,準頂薪,3,5.0,HARD_TO_MATCH,74.6,FRANCHISE
Alperen Sengun,HOU,23.0,45,34.0,20.8,9.4,6.3,1.4,1.0,0.145,0.5533092147265376,4.6,26.56,5.82,3.04,6.88,86.9,3,89.9,33.94,22.18,MAX,39.9,5.96,PLAYMAKER,組織者型,SECONDARY_SCORER,REBOUNDER,C/PF,2,86.3,HIGH_VALUE,高薪,3,40.0,NONE,74.0,FRANCHISE
Donovan Clingan,POR,21.0,50,27.5,11.5,11.4,2.0,0.5,1.4,0.13,0.6017161992465466,-0.1,21.02,2.56,1.59,4.9,75.6,5,80.6,7.18,4.69,ROLE_PLAYER,30.6,23.42,ROLE_PLAYER,角色球員型,FINISHER,REBOUNDER,C/PF,2,55.5,ROOKIE_EXT,新秀延長,4,50.0,ROOKIE_EXT_WAIT,73.7,FRANCHISE
Kel'el Ware,MIA,21.0,51,22.2,11.2,9.2,0.6,0.8,1.0,0.137,0.6211180124223602,-2.3,18.0,1.3,0.95,3.45,69.1,5,74.1,4.44,2.9,MINIMUM_PLUS,24.1,19.66,STRETCH_BIG,空間型大個子,FLOOR_SPACER,REBOUNDER,C/PF,2,51.4,ROOKIE_SCALE,新秀合約,2,85.0,NONE,72.7,FRANCHISE
Chet Holmgren,OKC,23.0,47,29.4,17.6,8.7,1.6,0.5,2.0,0.15,0.6537890044576524,14.3,22.56,9.1,3.9,5.28,87.5,3,90.5,13.73,8.97,MID_LEVEL,40.55,26.82,RIM_PROTECTOR,護框中鋒型,FINISHER,RIM_PROTECTOR,C/PF,2,55.5,ROOKIE_EXT,新秀延長,4,40.0,ROOKIE_EXT_WAIT,72.2,FRANCHISE
Deni Avdija,POR,25.0,45,34.4,25.5,7.2,6.7,0.8,0.6,0.151,0.610632183908046,0.2,24.72,4.51,2.56,6.48,90.4,0,90.4,14.38,9.4,MID_LEVEL,40.44,26.06,VERSATILE_SCORER,多元得分手型,SECONDARY_SCORER,LIMITED_DEFENDER,SF/SG,2,57.3,MID_LEVEL,中產,2,65.0,NONE,72.1,FRANCHISE
Jalen Williams,OKC,24.0,25,29.4,17.1,4.7,5.4,1.3,0.4,0.129,0.5405918057663127,7.7,19.12,3.73,1.07,2.38,70.1,3,73.1,6.58,4.3,ROLE_PLAYER,23.1,16.52,PLAYMAKER,組織者型,SECONDARY_PLAYMAKER,SOLID_DEFENDER,PG/SG,2,71.7,ROOKIE_EXT,新秀延長,4,50.0,ROOKIE_EXT_WAIT,71.9,FRANCHISE
Jaime Jaquez Jr.,MIA,24.0,50,28.8,15.1,5.4,4.7,0.8,0.3,0.113,0.5630966587112172,3.2,18.68,1.59,1.31,4.56,66.9,3,69.9,3.86,2.52,MINIMUM_PLUS,19.94,16.08,ROLE_PLAYER,角色球員型,SECONDARY_PLAYMAKER,LIMITED_DEFENDER,PG/SG,2,53.8,ROOKIE_SCALE,新秀合約,1,95.0,NONE,71.4,FRANCHISE
Jaylon Tyson,CLE,23.0,49,27.9,14.0,5.4,2.3,0.9,0.4,0.096,0.6361323155216284,4.2,16.88,2.89,1.7,3.91,64.1,3,67.1,3.49,2.28,MINIMUM_PLUS,18.26,14.77,THREE_AND_D,3D 球員型,FLOOR_SPACER,LIMITED_DEFENDER,PG/SG,2,57.9,ROOKIE_SCALE,新秀合約,1,95.0,NONE,71.4,FRANCHISE
Stephon Castle,SAS,21.0,42,30.8,17.1,5.2,7.0,1.4,0.3,0.113,0.5647291941875826,6.5,21.25,4.35,2.09,4.66,75.0,5,80.0,9.56,6.25,ROLE_PLAYER,30.0,20.44,PLAYMAKER,組織者型,PRIMARY_PLAYMAKER,SOLID_DEFENDER,PG/SG,2,65.8,ROOKIE_EXT,新秀延長,4,50.0,ROOKIE_EXT_WAIT,71.4,FRANCHISE
Sandro Mamukelashvili,TOR,26.0,52,22.7,11.5,5.0,2.0,0.8,0.6,0.122,0.6403118040089086,3.5,15.78,2.38,1.31,3.15,66.0,0,66.0,2.46,1.61,MINIMUM_PLUS,17.6,15.14,STRETCH_BIG,空間型大個子,FLOOR_SPACER,LIMITED_DEFENDER,PF/SF,2,54.5,MINIMUM,底薪,1,95.0,NONE,69.7,ALL_STAR
Giannis Antetokounmpo,MIL,31.0,30,29.2,28.0,10.0,5.6,0.9,0.7,0.218,0.6810663553220472,6.1,32.52,8.65,2.37,4.83,95.8,-2,93.8,54.13,35.38,SUPERMAX,41.97,-12.16,PAINT_BEAST,禁區猛獸型,PRIMARY_SCORER,REBOUNDER,C/PF,2,74.0,SUPERMAX,超級頂薪,4,0.0,NTC|HARD_TO_MATCH,69.6,ALL_STAR
Kawhi Leonard,LAC,34.0,40,32.8,27.9,6.3,3.7,2.1,0.5,0.183,0.6207725169099324,4.5,24.38,7.24,3.08,5.42,92.4,-5,87.4,50.0,32.68,SUPERMAX,31.79,-18.21,VERSATILE_SCORER,多元得分手型,PRIMARY_SCORER,PERIMETER_STOPPER,PG/SG,2,84.8,MAX,頂薪,2,15.0,HARD_TO_MATCH,69.4,ALL_STAR
Peyton Watson,DEN,23.0,49,30.7,14.9,4.9,2.0,1.0,1.2,0.087,0.5967638577379045,5.8,17.05,3.89,2.25,4.34,60.4,3,63.4,4.36,2.85,MINIMUM_PLUS,16.04,11.68,TWO_WAY_WING,雙向側翼型,FLOOR_SPACER,VERSATILE_DEFENDER,SF/SG,2,75.5,ROOKIE_SCALE,新秀合約,1,95.0,NONE,69.2,ALL_STAR
Zion Williamson,NOP,25.0,39,29.6,21.5,6.2,3.5,1.0,0.6,0.142,0.6279205607476636,-4.7,23.05,2.09,1.2,4.51,82.6,0,82.6,39.45,25.78,MAX,32.6,-6.85,ROLE_PLAYER,角色球員型,SECONDARY_SCORER,VERSATILE_DEFENDER,PG/SG,2,86.8,NEAR_MAX,準頂薪,3,15.0,DIFFICULT_TO_MATCH,68.6,ALL_STAR
