PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,EFG_PCT,TS_PCT,USG_PCT,NET_RATING,OFF_RATING,DEF_RATING,PIE,PLAYER_HEIGHT,PLAYER_WEIGHT,AGE,SALARY,SALARY_M,PER_APPROX,BPM_APPROX,VORP_APPROX,WIN_SHARES_APPROX,AGE_CURVE_FACTOR,PROJECTED_VALUE,VALUE_SCORE,AGE_ADJ,VALUE_SCORE_ADJ,CAP_PCT,SALARY_TIER,MARKET_VALUE_M,SALARY_SURPLUS_M,CONTRACT_VALUE_RATIO,PLAY_STYLE,PLAY_STYLE_CN,OFFENSIVE_ROLE,DEFENSIVE_ROLE,POSITIONS,POSITION_FLEX,FIT_VERSATILITY_SCORE,PERF_SCORE_NORM,CONTRACT_SCORE_NORM,FIT_SCORE_NORM,TRADE_VALUE,TRADE_VALUE_TIER,SURPLUS_VALUE_M,CONTRACT_TYPE,CONTRACT_TYPE_CN,YEARS_REMAINING,TOTAL_CONTRACT_VALUE,TRADE_RESTRICTIONS,TRADE_KICKER_LIKELY,EXTENSION_ELIGIBLE,CONTRACT_FLEXIBILITY,SALARY_MATCH_MIN,SALARY_MATCH_MAX
1631157,Ryan Rollins,MIL,51,32.0,16.9,4.6,5.5,1.5,0.4,0.463,0.407,0.757,0.55,0.5678763440860214,0.233,-1.0,114.2,115.2,0.108,6-3,180.0,23.0,4000000.0,4.0,19.46,1.94,1.63,5.38,0.93,18.1,69.3,3,72.3,2.61,MINIMUM_PLUS,22.3,18.3,5.58,PLAYMAKER,組織者型,SECONDARY_PLAYMAKER,PERIMETER_STOPPER,PG,1,65.7,74.0,100.0,59.5,76.9,FRANCHISE,18.3,ROOKIE_SCALE,新秀合約,1,4.0,NONE,False,ROOKIE_EXTENSION_ELIGIBLE,95.0,0.0,8.25
1642349,Ajay Mitchell,OKC,43,26.2,14.1,3.5,3.7,1.4,0.3,0.487,0.35,0.87,0.5424528301886793,0.5914429530201342,0.213,15.9,116.8,100.9,0.121,6-4,190.0,23.0,3000000.0,3.0,16.51,6.09,2.32,3.15,0.93,15.35,69.2,3,72.2,1.96,MINIMUM_PLUS,22.2,19.2,7.4,TWO_WAY_WING,雙向側翼型,FINISHER,SOLID_DEFENDER,PG/SG,2,65.3,73.9,100.0,58.9,76.7,FRANCHISE,19.2,ROOKIE_SCALE,新秀合約,1,3.0,NONE,False,ROOKIE_EXTENSION_ELIGIBLE,95.0,0.0,6.25
1642843,Cooper Flagg,DAL,49,34.1,20.4,6.6,4.1,1.2,0.8,0.482,0.302,0.804,0.5186335403726707,0.5614266842800527,0.247,-4.5,109.4,113.9,0.124,6-9,205.0,19.0,14386320.0,14.39,21.24,1.48,1.48,6.01,0.72,15.29,75.8,5,80.8,9.41,MID_LEVEL,30.8,16.41,2.14,ROLE_PLAYER,角色球員型,SECONDARY_SCORER,VERSATILE_DEFENDER,PF/SF,2,91.7,82.8,42.1,96.7,76.1,FRANCHISE,16.41,ROOKIE_EXT,新秀延長,4,57.56,ROOKIE_EXT_WAIT,False,NOT_YET_ELIGIBLE,40.0,0.0,21.89
1628983,Shai Gilgeous-Alexander,OKC,49,33.3,31.8,4.4,6.4,1.3,0.8,0.554,0.39,0.892,0.5989847715736041,0.6695300656897424,0.322,15.5,121.6,106.0,0.209,6-6,195.0,27.0,38333050.0,38.33,28.72,11.64,5.65,7.94,1.0,28.72,95.9,0,95.9,25.05,MAX,46.49,8.16,1.21,VERSATILE_SCORER,多元得分手型,PRIMARY_SCORER,VERSATILE_DEFENDER,PG/SG,2,81.7,98.3,23.3,82.4,75.6,FRANCHISE,8.16,NEAR_MAX,準頂薪,3,114.99,DIFFICULT_TO_MATCH,True,NOT_YET_ELIGIBLE,15.0,0.0,48.16
1631217,Moussa Diabaté,CHA,50,25.2,8.2,8.6,1.6,0.7,1.0,0.632,0.5,0.662,0.627450980392157,0.6520356234096691,0.117,7.7,120.2,112.5,0.11,6-10,210.0,24.0,2270735.0,2.27,18.25,4.45,2.06,3.89,0.96,17.52,69.4,3,72.4,1.48,MINIMUM_PLUS,22.4,20.13,9.87,STRETCH_BIG,空間型大個子,FLOOR_SPACER,REBOUNDER,PF/SF,2,62.0,74.1,100.0,54.2,75.6,FRANCHISE,20.13,ROOKIE_SCALE,新秀合約,1,2.27,NONE,False,ROOKIE_EXTENSION_ELIGIBLE,95.0,0.0,4.79
1642852,Derik Queen,NOP,54,25.9,12.2,7.3,4.2,1.1,0.9,0.491,0.269,0.777,0.5052083333333334,0.5541424418604651,0.217,-6.6,112.6,119.2,0.114,6-9,250.0,21.0,5157960.0,5.16,19.55,-0.36,0.58,4.63,0.84,16.42,64.8,5,69.8,3.37,ROLE_PLAYER,19.88,14.72,3.85,ROLE_PLAYER,角色球員型,SECONDARY_PLAYMAKER,VERSATILE_DEFENDER,PF/SF,2,81.6,71.5,76.7,82.3,75.5,FRANCHISE,14.72,ROOKIE_SCALE,新秀合約,2,10.32,NONE,False,ROOKIE_EXTENSION_ELIGIBLE,75.0,0.0,10.57
203999,Nikola Jokić,DEN,38,34.3,28.8,12.2,10.7,1.4,0.8,0.593,0.42,0.846,0.6491228070175438,0.7028504490433425,0.291,11.7,127.3,115.6,0.227,6-11,284.0,30.0,55224526.0,55.22,39.14,13.5,5.13,8.64,0.94,36.79,99.3,-2,97.3,36.09,SUPERMAX,48.03,-7.19,0.87,FLOOR_GENERAL,地板指揮官型,PRIMARY_PLAYMAKER,REBOUNDER,C/PF,2,83.7,99.7,16.4,85.3,75.3,FRANCHISE,-7.19,SUPERMAX,超級頂薪,4,220.88,NTC|HARD_TO_MATCH,True,NOT_YET_ELIGIBLE,0.0,0.0,69.28
1630595,Cade Cunningham,DET,46,35.0,25.3,5.6,9.6,1.4,0.8,0.459,0.321,0.81,0.5025906735751295,0.564127720299679,0.299,10.5,118.4,107.9,0.16,6-6,220.0,24.0,46394100.0,46.39,26.65,8.25,4.19,7.27,0.96,25.58,90.0,3,93.0,30.32,SUPERMAX,43.3,-3.09,0.93,FLOOR_GENERAL,地板指揮官型,PRIMARY_PLAYMAKER,VERSATILE_DEFENDER,PG/SG,2,88.8,95.3,17.6,92.6,75.2,FRANCHISE,-3.09,MAX,頂薪,3,139.17,POSSIBLE_3MO_WAIT|HARD_TO_MATCH,True,NOT_YET_ELIGIBLE,5.0,0.0,58.24
1629029,Luka Dončić,LAL,42,35.5,32.8,7.8,8.6,1.5,0.5,0.473,0.345,0.781,0.5522727272727272,0.6120316465144051,0.366,0.9,118.3,117.4,0.185,6-8,230.0,26.0,54126450.0,54.13,30.08,7.34,3.54,7.6,1.0,30.08,95.5,0,95.5,35.38,SUPERMAX,46.05,-8.08,0.85,FLOOR_GENERAL,地板指揮官型,PRIMARY_SCORER,PERIMETER_STOPPER,SF/SG,2,84.8,97.8,16.0,86.8,74.6,FRANCHISE,-8.08,SUPERMAX,超級頂薪,4,216.52,POSSIBLE_3MO_WAIT|HARD_TO_MATCH,True,NOT_YET_ELIGIBLE,0.0,0.0,67.91
1630162,Anthony Edwards,MIN,45,35.5,29.6,5.2,3.8,1.3,0.8,0.492,0.397,0.795,0.5748792270531401,0.6166666666666667,0.307,3.6,118.3,114.7,0.15,6-4,225.0,24.0,45550512.0,45.55,23.49,6.19,3.32,6.36,0.96,22.55,90.0,3,93.0,29.77,SUPERMAX,43.3,-2.25,0.95,VERSATILE_SCORER,多元得分手型,PRIMARY_SCORER,VERSATILE_DEFENDER,PG/SG,2,86.8,95.3,18.0,89.7,74.6,FRANCHISE,-2.25,NEAR_MAX,準頂薪,3,136.65,HARD_TO_MATCH,True,NOT_YET_ELIGIBLE,5.0,0.0,57.19
