PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,EFG_PCT,TS_PCT,USG_PCT,NET_RATING,OFF_RATING,DEF_RATING,PIE,PLAYER_HEIGHT,PLAYER_WEIGHT,AGE,SALARY,SALARY_M
1629029,Luka Dončić,LAL,42,35.5,32.8,7.8,8.6,1.5,0.5,0.473,0.345,0.781,0.5522727272727272,0.6120316465144051,0.366,0.9,118.3,117.4,0.185,6-8,230.0,26.0,54126450.0,54.13
1628983,Shai Gilgeous-Alexander,OKC,49,33.3,31.8,4.4,6.4,1.3,0.8,0.554,0.39,0.892,0.5989847715736041,0.6695300656897424,0.322,15.5,121.6,106.0,0.209,6-6,195.0,27.0,38333050.0,38.33
1630162,Anthony Edwards,MIN,45,35.5,29.6,5.2,3.8,1.3,0.8,0.492,0.397,0.795,0.5748792270531401,0.6166666666666667,0.307,3.6,118.3,114.7,0.15,6-4,225.0,24.0,45550512.0,45.55
1627759,Jaylen Brown,BOS,48,34.3,29.4,6.9,4.7,1.0,0.4,0.484,0.352,0.772,0.5287610619469026,0.572429906542056,0.361,4.0,119.0,115.0,0.152,6-6,223.0,29.0,53142264.0,53.14
1628378,Donovan Mitchell,CLE,50,33.8,29.0,4.5,5.9,1.5,0.3,0.485,0.377,0.85,0.5745192307692307,0.6186006825938566,0.315,7.8,118.4,110.5,0.157,6-2,215.0,29.0,46394100.0,46.39
203999,Nikola Jokić,DEN,38,34.3,28.8,12.2,10.7,1.4,0.8,0.593,0.42,0.846,0.6491228070175438,0.7028504490433425,0.291,11.7,127.3,115.6,0.227,6-11,284.0,30.0,55224526.0,55.22
1630178,Tyrese Maxey,PHI,51,38.7,28.8,4.2,6.8,2.0,0.8,0.47,0.379,0.891,0.5488372093023255,0.5976095617529881,0.282,2.5,115.9,113.3,0.155,6-2,200.0,25.0,37958760.0,37.96
203507,Giannis Antetokounmpo,MIL,30,29.2,28.0,10.0,5.6,0.9,0.7,0.645,0.395,0.658,0.6635802469135803,0.6810663553220472,0.349,6.1,120.8,114.7,0.218,6-11,243.0,31.0,54126450.0,54.13
202695,Kawhi Leonard,LAC,40,32.8,27.9,6.3,3.7,2.1,0.5,0.492,0.387,0.913,0.5609137055837563,0.6207725169099324,0.327,4.5,118.0,113.5,0.183,6-6,225.0,34.0,50000000.0,50.0
1628973,Jalen Brunson,NYK,49,34.7,27.4,3.3,6.1,0.7,0.1,0.47,0.372,0.847,0.5408653846153846,0.5855701829372542,0.305,6.6,121.9,115.3,0.137,6-2,190.0,29.0,34944001.0,34.94
