PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,REB,AST,PIE,NET_RATING,TS_PCT,VALUE_SCORE,AGE_ADJ,VALUE_SCORE_ADJ,MARKET_VALUE_M,SALARY_M,SURPLUS_VALUE_M
Deandre Ayton,POR,26.0,40,30.1,14.4,10.2,1.6,0.125,-6.9,0.5825242718446603,59.7,0,59.7,30.45,34.01,-3.56
Tim Hardaway Jr.,DET,33.0,77,28.0,11.0,2.4,1.6,0.066,-0.5,0.5707762557077625,29.6,-5,24.6,12.55,16.19,-3.64
Jrue Holiday,BOS,35.0,62,30.6,11.1,4.3,3.9,0.088,8.9,0.5705180921052632,55.7,-5,50.7,25.86,30.0,-4.14
Karl-Anthony Towns,NYK,29.0,72,35.0,24.4,12.8,3.1,0.161,6.8,0.6286067600989284,90.3,-2,88.3,45.03,49.21,-4.18
Josh Green,CHA,24.0,68,27.8,7.4,2.5,1.6,0.043,-8.9,0.5535607420706165,13.5,3,16.5,8.42,12.65,-4.23
Kyrie Irving,DAL,33.0,50,36.1,24.7,4.8,4.6,0.129,2.6,0.5939784532512505,76.9,-5,71.9,36.67,41.0,-4.33
Dillon Brooks,HOU,29.0,75,31.8,14.0,3.7,1.7,0.067,4.7,0.5553792446842272,37.0,-2,35.0,17.85,22.26,-4.41
Rudy Gobert,MIN,33.0,72,33.2,12.0,10.9,1.8,0.126,6.7,0.6839945280437756,79.3,-5,74.3,37.89,43.83,-5.94
OG Anunoby,NYK,27.0,74,36.6,18.0,4.8,2.2,0.093,5.4,0.5896226415094339,60.1,0,60.1,30.65,36.64,-5.99
Devin Vassell,SAS,24.0,64,31.0,16.3,4.0,2.9,0.092,-6.2,0.5530673181324647,42.0,3,45.0,22.95,29.35,-6.4
Maxi Kleber,LAL,33.0,34,18.7,3.0,2.8,1.3,0.035,-0.4,0.489556135770235,14.0,-5,9.0,4.59,11.0,-6.41
Patrick Williams,CHI,23.0,63,25.0,9.0,3.8,2.0,0.062,-4.8,0.5129958960328318,19.2,3,22.2,11.32,18.5,-7.18
Jimmy Butler III,GSW,35.0,55,31.7,17.5,5.4,5.4,0.145,6.3,0.6239304050199658,85.8,-5,80.8,41.21,48.8,-7.59
Trae Young,ATL,26.0,76,36.0,24.2,3.1,11.6,0.129,0.6,0.5665855029031653,68.9,0,68.9,35.14,43.03,-7.89
Kyle Kuzma,MIL,29.0,65,29.8,14.8,5.7,2.3,0.08,-10.3,0.5151768309663046,29.5,-2,27.5,14.02,22.41,-8.39
Kentavious Caldwell-Pope,MEM,32.0,77,29.6,8.7,2.2,1.8,0.065,0.5,0.5702674357629784,29.4,-2,27.4,13.97,22.76,-8.79
LeBron James,LAL,40.0,70,34.9,24.4,7.8,8.2,0.169,-1.3,0.6049186830622768,82.4,-5,77.4,39.47,48.73,-9.26
Kawhi Leonard,LAC,34.0,37,31.9,21.5,5.9,3.1,0.134,12.4,0.588976550515012,82.8,-5,77.8,39.68,49.35,-9.67
